CUSTGROUP,customer_name,Month,Year,Qty,Sales
GROUP-GP,CUST-390001,Jan,2023,73,3378
CLINIC-SP,CUST-400001,Jan,2023,14,2382
GROUP-GP,CUST-410001,Jan,2023,25,2219
GROUP-GP,CUST-420001,Jan,2023,26,1344
CLINIC-SP,CUST-430000,Jan,2023,29,2644
HOSP-PTE,CUST-440001,Jan,2023,11,1023
CLINIC-GP,CUST-450000,Jan,2023,45,2265
OTHERS,CUST-460000,Jan,2023,84,2315
GROUP-GP,CUST-470001,Jan,2023,82,2793
CLINIC-SP,CUST-480000,Jan,2023,23,2362
PH-RETAILS,CUST-490000,Jan,2023,174,3121
CLINIC-GP,CUST-500001,Jan,2023,47,2569
GROUP-GP,CUST-510000,Jan,2023,0,0
CLINIC-SP,CUST-520000,Jan,2023,27,2880
PH-RETAILS,CUST-530001,Jan,2023,69,2501
CLINIC-GP,CUST-540001,Jan,2023,10,978
CLINIC-GP,CUST-550000,Jan,2023,24,2477
OTHERS,CUST-560000,Jan,2023,36,2130
CLINIC-SP,CUST-570000,Jan,2023,22,2202
CLINIC-SP,CUST-580000,Jan,2023,0,0
CLINIC-SP,CUST-590001,Jan,2023,25,1777
CLINIC-GP,CUST-600000,Jan,2023,40,1512
CLINIC-GP,CUST-610000,Jan,2023,40,2621
CLINIC-SP,CUST-620000,Jan,2023,11,1816
CLINIC-SP,CUST-630000,Jan,2023,0,0
GROUP-GP,CUST-640001,Jan,2023,38,2655
CLINIC-SP,CUST-650000,Jan,2023,25,1755
CLINIC-GP,CUST-660000,Jan,2023,5,328
OTHERS,CUST-670000,Jan,2023,8,2965
CLINIC-SP,CUST-680000,Jan,2023,19,1953
CLINIC-SP,CUST-690000,Jan,2023,34,1346
GROUP-GP,CUST-700000,Jan,2023,146,8928
CLINIC-SP,CUST-710000,Jan,2023,18,2130
CLINIC-SP,CUST-720000,Jan,2023,10,1226
CLINIC-GP,CUST-730001,Jan,2023,33,2194
CLINIC-GP,CUST-740000,Jan,2023,13,1365
CLINIC-GP,CUST-750001,Jan,2023,47,1906
CLINIC-SP,CUST-760001,Jan,2023,11,1342
CLINIC-GP,CUST-770001,Jan,2023,29,2387
CLINIC-GP,CUST-780001,Jan,2023,11,1358
CLINIC-SP,CUST-790001,Jan,2023,13,1397
CLINIC-GP,CUST-800001,Jan,2023,3,220
CLINIC-SP,CUST-810001,Jan,2023,8,945
CLINIC-GP,CUST-820000,Jan,2023,28,1662
CLINIC-GP,CUST-830001,Jan,2023,1,94
CLINIC-GP,CUST-840000,Jan,2023,19,1124
PH-RETAILS,CUST-850001,Jan,2023,42,1472
CLINIC-GP,CUST-860000,Jan,2023,30,2178
CLINIC-GP,CUST-870001,Jan,2023,47,1884
GROUP-GP,CUST-880001,Jan,2023,27,1589
CLINIC-SP,CUST-890000,Jan,2023,11,1304
CLINIC-GP,CUST-900001,Jan,2023,10,878
CLINIC-GP,CUST-910000,Jan,2023,16,826
CLINIC-GP,CUST-920001,Jan,2023,22,1692
PH-RETAILS,CUST-930001,Jan,2023,149,2817
GROUP-GP,CUST-940001,Jan,2023,34,1332
OTHERS,CUST-950000,Jan,2023,1,103
CLINIC-SP,CUST-960001,Jan,2023,18,1304
CLINIC-GP,CUST-970000,Jan,2023,16,1750
OTHERS,CUST-980001,Jan,2023,1,90
CLINIC-GP,CUST-990001,Jan,2023,28,2087
CLINIC-SP,CUST-1000000,Jan,2023,32,3477
OTHERS,CUST-1010000,Jan,2023,58,997
CLINIC-SP,CUST-1020001,Jan,2023,8,1110
CLINIC-GP,CUST-1030001,Jan,2023,14,606
GROUP-GP,CUST-1040000,Jan,2023,57,1980
CLINIC-DEN,CUST-1050000,Jan,2023,23,743
CLINIC-GP,CUST-1060000,Jan,2023,13,753
CLINIC-GP,CUST-1070001,Jan,2023,30,1065
GROUP-GP,CUST-1080001,Jan,2023,138,2542
CLINIC-GP,CUST-1090000,Jan,2023,10,339
CLINIC-SP,CUST-1100001,Jan,2023,0,0
CLINIC-SP,CUST-1110000,Jan,2023,31,1766
CLINIC-SP,CUST-1120000,Jan,2023,40,566
CLINIC-GP,CUST-1130000,Jan,2023,16,1141
PH-RETAILS,CUST-1140000,Jan,2023,19,535
CLINIC-SP,CUST-1150000,Jan,2023,10,1350
CLINIC-SP,CUST-1160001,Jan,2023,12,774
CLINIC-GP,CUST-1170001,Jan,2023,31,1216
CLINIC-GP,CUST-1180000,Jan,2023,39,1554
CLINIC-GP,CUST-1190001,Jan,2023,18,1078
CLINIC-SP,CUST-1200001,Jan,2023,6,1476
CORPORATES,CUST-1210001,Jan,2023,0,118
CLINIC-SP,CUST-1220000,Jan,2023,32,1677
CLINIC-SP,CUST-1230000,Jan,2023,31,722
CLINIC-GP,CUST-1240000,Jan,2023,26,953
CLINIC-GP,CUST-1250001,Jan,2023,3,43
CLINIC-SP,CUST-1260000,Jan,2023,43,2129
CLINIC-SP,CUST-1270000,Jan,2023,8,741
GROUP-GP,CUST-1280000,Jan,2023,0,0
CLINIC-SP,CUST-1290000,Jan,2023,7,720
CLINIC-SP,CUST-1300001,Jan,2023,1,50
CLINIC-GP,CUST-1310000,Jan,2023,9,809
CLINIC-GP,CUST-1320001,Jan,2023,15,2522
CLINIC-SP,CUST-1330001,Jan,2023,8,918
CLINIC-GP,CUST-1340000,Jan,2023,39,1589
CLINIC-GP,CUST-1350000,Jan,2023,3,191
CLINIC-GP,CUST-1360000,Jan,2023,30,1634
CLINIC-GP,CUST-1370001,Jan,2023,22,1383
HOSP-PTE,CUST-1380001,Jan,2023,10,815
CLINIC-GP,CUST-1390001,Jan,2023,21,1850
OTHERS,CUST-1400000,Jan,2023,262,2397
CLINIC-GP,CUST-1410000,Jan,2023,15,1139
CLINIC-GP,CUST-1420001,Jan,2023,14,1164
CLINIC-SP,CUST-1430000,Jan,2023,76,3270
CLINIC-SP,CUST-1440000,Jan,2023,13,1404
CLINIC-SP,CUST-1450001,Jan,2023,60,2313
CLINIC-GP,CUST-1460001,Jan,2023,45,1920
CLINIC-GP,CUST-1470001,Jan,2023,11,1204
CLINIC-SP,CUST-1480001,Jan,2023,23,824
CLINIC-SP,CUST-1490000,Jan,2023,16,911
CLINIC-SP,CUST-1500001,Jan,2023,16,1114
CLINIC-GP,CUST-1510001,Jan,2023,29,1065
CLINIC-SP,CUST-1520000,Jan,2023,9,335
CLINIC-GP,CUST-1530000,Jan,2023,23,1385
CLINIC-GP,CUST-1540000,Jan,2023,20,1054
CLINIC-GP,CUST-1550001,Jan,2023,17,1069
CLINIC-SP,CUST-1560001,Jan,2023,12,584
CLINIC-GP,CUST-1570000,Jan,2023,29,1199
CLINIC-SP,CUST-1580000,Jan,2023,11,773
CLINIC-GP,CUST-1590001,Jan,2023,23,1010
CLINIC-GP,CUST-1600001,Jan,2023,8,721
GROUP-GP,CUST-1610000,Jan,2023,27,1530
CLINIC-SP,CUST-1620000,Jan,2023,18,1001
CLINIC-GP,CUST-1630000,Jan,2023,19,1257
CLINIC-GP,CUST-1640001,Jan,2023,17,807
CLINIC-SP,CUST-1650000,Jan,2023,5,808
GROUP-GP,CUST-1660001,Jan,2023,6,151
CLINIC-SP,CUST-1670001,Jan,2023,27,961
CLINIC-GP,CUST-1680001,Jan,2023,6,259
GROUP-GP,CUST-1690000,Jan,2023,24,1341
CLINIC-GP,CUST-1700000,Jan,2023,21,548
CLINIC-GP,CUST-1710000,Jan,2023,21,1520
CLINIC-SP,CUST-1720001,Jan,2023,25,684
CLINIC-SP,CUST-1730000,Jan,2023,12,1123
CLINIC-GP,CUST-1740000,Jan,2023,21,446
CLINIC-GP,CUST-1750001,Jan,2023,54,1330
CLINIC-SP,CUST-1760001,Jan,2023,9,856
CLINIC-SP,CUST-1770000,Jan,2023,11,769
CLINIC-SP,CUST-1780000,Jan,2023,3,554
CLINIC-GP,CUST-1790001,Jan,2023,7,444
GROUP-GP,CUST-1800001,Jan,2023,9,733
CLINIC-GP,CUST-1810000,Jan,2023,0,0
CLINIC-SP,CUST-1820001,Jan,2023,0,0
CLINIC-SP,CUST-1830000,Jan,2023,21,2105
CLINIC-GP,CUST-1840000,Jan,2023,21,737
CLINIC-SP,CUST-1850000,Jan,2023,43,2394
CLINIC-SP,CUST-1860000,Jan,2023,9,211
CLINIC-GP,CUST-1870001,Jan,2023,22,1074
CLINIC-SP,CUST-1880000,Jan,2023,3,438
CLINIC-GP,CUST-1890000,Jan,2023,6,647
CLINIC-SP,CUST-1900000,Jan,2023,14,1052
CLINIC-GP,CUST-1910000,Jan,2023,19,959
CLINIC-SP,CUST-1920001,Jan,2023,10,682
GROUP-GP,CUST-1930001,Jan,2023,20,866
CLINIC-SP,CUST-1940001,Jan,2023,16,873
GROUP-GP,CUST-1950000,Jan,2023,4,326
SUPERMARKET,CUST-1960001,Jan,2023,0,0
CLINIC-GP,CUST-1970001,Jan,2023,17,914
GROUP-GP,CUST-1980000,Jan,2023,7,65
CLINIC-SP,CUST-1990000,Jan,2023,10,706
OTHERS,CUST-2000001,Jan,2023,0,0
CLINIC-GP,CUST-2010000,Jan,2023,10,734
CLINIC-SP,CUST-2020000,Jan,2023,26,783
CLINIC-GP,CUST-2030001,Jan,2023,14,684
CLINIC-SP,CUST-2040001,Jan,2023,17,1124
CLINIC-SP,CUST-2050000,Jan,2023,16,818
CLINIC-GP,CUST-2060001,Jan,2023,21,1132
GROUP-GP,CUST-2070001,Jan,2023,0,78
CLINIC-GP,CUST-2080001,Jan,2023,11,667
CLINIC-GP,CUST-2090000,Jan,2023,5,447
CLINIC-SP,CUST-2100000,Jan,2023,38,852
PH-RETAILS,CUST-2110001,Jan,2023,8,603
CLINIC-GP,CUST-2120000,Jan,2023,10,698
CLINIC-GP,CUST-2130001,Jan,2023,0,0
CLINIC-GP,CUST-2140000,Jan,2023,12,508
GROUP-GP,CUST-2150001,Jan,2023,22,1409
CLINIC-SP,CUST-2160000,Jan,2023,11,1077
CLINIC-GP,CUST-2170000,Jan,2023,10,513
CLINIC-SP,CUST-2180000,Jan,2023,0,0
CLINIC-SP,CUST-2190000,Jan,2023,3,304
CLINIC-SP,CUST-2200001,Jan,2023,0,0
CLINIC-GP,CUST-2210001,Jan,2023,23,1380
GROUP-GP,CUST-2220001,Jan,2023,12,1373
CLINIC-GP,CUST-2230001,Jan,2023,18,1258
GROUP-GP,CUST-2240001,Jan,2023,9,676
CLINIC-GP,CUST-2250001,Jan,2023,6,380
CLINIC-SP,CUST-2260000,Jan,2023,15,144
CLINIC-SP,CUST-2270000,Jan,2023,14,904
CLINIC-GP,CUST-2280001,Jan,2023,13,1094
GROUP-GP,CUST-2290001,Jan,2023,0,0
CLINIC-SP,CUST-2300001,Jan,2023,12,629
CLINIC-SP,CUST-2310001,Jan,2023,4,525
CLINIC-GP,CUST-2320000,Jan,2023,22,589
CLINIC-GP,CUST-2330000,Jan,2023,17,631
CLINIC-GP,CUST-2340000,Jan,2023,16,727
CLINIC-GP,CUST-2350001,Jan,2023,8,629
CLINIC-SP,CUST-2360000,Jan,2023,26,1259
CLINIC-SP,CUST-2370000,Jan,2023,10,803
CLINIC-SP,CUST-2380000,Jan,2023,15,1129
CLINIC-SP,CUST-2390000,Jan,2023,4,1088
GROUP-GP,CUST-2400000,Jan,2023,12,1151
CLINIC-SP,CUST-2410000,Jan,2023,0,0
CLINIC-GP,CUST-2420001,Jan,2023,14,782
CLINIC-SP,CUST-2430000,Jan,2023,13,604
CLINIC-GP,CUST-2440001,Jan,2023,11,704
CLINIC-GP,CUST-2450001,Jan,2023,12,1181
CLINIC-GP,CUST-2460000,Jan,2023,8,689
CLINIC-SP,CUST-2470001,Jan,2023,0,0
CLINIC-SP,CUST-2480000,Jan,2023,7,785
CLINIC-SP,CUST-2490000,Jan,2023,17,1094
CLINIC-GP,CUST-2500001,Jan,2023,7,527
CLINIC-SP,CUST-2510000,Jan,2023,16,946
CLINIC-SP,CUST-2520001,Jan,2023,4,423
CLINIC-GP,CUST-2530001,Jan,2023,2,80
CLINIC-SP,CUST-2540001,Jan,2023,6,201
CLINIC-GP,CUST-2550000,Jan,2023,14,1200
CLINIC-SP,CUST-2560001,Jan,2023,6,560
CLINIC-GP,CUST-2570001,Jan,2023,10,350
CLINIC-SP,CUST-2580000,Jan,2023,3,376
CLINIC-SP,CUST-2590001,Jan,2023,13,678
CLINIC-GP,CUST-2600000,Jan,2023,13,472
CLINIC-SP,CUST-2610000,Jan,2023,1,168
CLINIC-GP,CUST-2620001,Jan,2023,20,1212
CLINIC-GP,CUST-2630000,Jan,2023,0,0
CLINIC-GP,CUST-2640000,Jan,2023,11,833
CLINIC-SP,CUST-2650000,Jan,2023,6,344
CLINIC-SP,CUST-2660000,Jan,2023,2,254
CLINIC-SP,CUST-2670001,Jan,2023,6,377
CLINIC-GP,CUST-2680001,Jan,2023,3,266
CLINIC-SP,CUST-2690000,Jan,2023,8,308
GROUP-GP,CUST-2700000,Jan,2023,0,0
CLINIC-SP,CUST-2710001,Jan,2023,0,0
CLINIC-GP,CUST-2720001,Jan,2023,5,420
CLINIC-SP,CUST-2730001,Jan,2023,10,835
CLINIC-SP,CUST-2740001,Jan,2023,7,514
GROUP-GP,CUST-2750001,Jan,2023,10,477
CLINIC-SP,CUST-2760000,Jan,2023,3,332
CLINIC-SP,CUST-2770001,Jan,2023,1,79
CLINIC-GP,CUST-2780001,Jan,2023,60,2264
CLINIC-SP,CUST-2790001,Jan,2023,4,390
CLINIC-SP,CUST-2800001,Jan,2023,7,312
CLINIC-SP,CUST-2810000,Jan,2023,10,1315
CLINIC-GP,CUST-2820000,Jan,2023,9,994
CLINIC-GP,CUST-2830001,Jan,2023,6,220
CLINIC-GP,CUST-2840000,Jan,2023,6,374
CLINIC-SP,CUST-2850000,Jan,2023,8,478
OTHERS,CUST-2860001,Jan,2023,27,1069
CLINIC-SP,CUST-2870001,Jan,2023,2,300
CLINIC-GP,CUST-2880001,Jan,2023,11,721
CLINIC-SP,CUST-2890000,Jan,2023,7,400
CLINIC-SP,CUST-2900001,Jan,2023,8,586
CLINIC-GP,CUST-2910000,Jan,2023,35,1301
CLINIC-SP,CUST-2920000,Jan,2023,12,712
CLINIC-SP,CUST-2930000,Jan,2023,4,444
CLINIC-GP,CUST-2940000,Jan,2023,10,931
CLINIC-GP,CUST-2950001,Jan,2023,2,152
CLINIC-GP,CUST-2960001,Jan,2023,2,175
CLINIC-DEN,CUST-2970001,Jan,2023,1,788
CLINIC-GP,CUST-2980000,Jan,2023,0,0
CLINIC-GP,CUST-2990000,Jan,2023,41,1010
CLINIC-GP,CUST-3000001,Jan,2023,14,459
CLINIC-SP,CUST-3010001,Jan,2023,5,522
CLINIC-GP,CUST-3020000,Jan,2023,0,0
CLINIC-SP,CUST-3030000,Jan,2023,27,2171
CLINIC-SP,CUST-3040001,Jan,2023,0,0
CLINIC-SP,CUST-3050000,Jan,2023,0,0
CLINIC-GP,CUST-3060001,Jan,2023,5,426
CLINIC-SP,CUST-3070000,Jan,2023,5,734
CLINIC-GP,CUST-3080001,Jan,2023,13,958
CLINIC-SP,CUST-3090001,Jan,2023,18,398
CLINIC-SP,CUST-3100001,Jan,2023,9,249
CLINIC-SP,CUST-3110001,Jan,2023,4,645
GROUP-GP,CUST-3120000,Jan,2023,24,757
CLINIC-SP,CUST-3130000,Jan,2023,6,364
CLINIC-GP,CUST-3140001,Jan,2023,3,684
CLINIC-SP,CUST-3150001,Jan,2023,6,349
CLINIC-SP,CUST-3160000,Jan,2023,0,0
CLINIC-SP,CUST-3170000,Jan,2023,0,0
CLINIC-GP,CUST-3180001,Jan,2023,6,681
CLINIC-GP,CUST-3190000,Jan,2023,21,889
CLINIC-SP,CUST-3200000,Jan,2023,0,0
CLINIC-SP,CUST-3210001,Jan,2023,4,449
CLINIC-SP,CUST-3220000,Jan,2023,9,569
CLINIC-GP,CUST-3230001,Jan,2023,13,506
CLINIC-SP,CUST-3240001,Jan,2023,11,180
CLINIC-GP,CUST-3250000,Jan,2023,19,953
CLINIC-SP,CUST-3260001,Jan,2023,11,916
CLINIC-SP,CUST-3270001,Jan,2023,11,1085
CLINIC-GP,CUST-3280000,Jan,2023,13,680
CLINIC-GP,CUST-3290001,Jan,2023,3,491
CLINIC-SP,CUST-3300000,Jan,2023,3,661
CLINIC-SP,CUST-3310001,Jan,2023,15,1040
CLINIC-GP,CUST-3320000,Jan,2023,11,1128
CLINIC-SP,CUST-3330000,Jan,2023,10,534
CLINIC-SP,CUST-3340001,Jan,2023,9,194
CLINIC-GP,CUST-3350001,Jan,2023,0,0
GROUP-GP,CUST-3360001,Jan,2023,38,591
GROUP-GP,CUST-3370001,Jan,2023,28,684
CLINIC-GP,CUST-3380001,Jan,2023,7,988
CLINIC-SP,CUST-3390000,Jan,2023,12,678
CLINIC-SP,CUST-3400001,Jan,2023,14,446
CLINIC-SP,CUST-3410000,Jan,2023,4,234
CLINIC-SP,CUST-3420001,Jan,2023,2,34
GROUP-GP,CUST-3430001,Jan,2023,5,551
CLINIC-GP,CUST-3440001,Jan,2023,8,289
CLINIC-GP,CUST-3450001,Jan,2023,12,600
CLINIC-SP,CUST-3460001,Jan,2023,0,0
CLINIC-SP,CUST-3470001,Jan,2023,2,353
CLINIC-GP,CUST-3480001,Jan,2023,17,278
CLINIC-SP,CUST-3490001,Jan,2023,13,585
CLINIC-GP,CUST-3500001,Jan,2023,19,1128
CLINIC-GP,CUST-3510001,Jan,2023,5,218
CLINIC-GP,CUST-3520000,Jan,2023,0,0
CLINIC-GP,CUST-3530001,Jan,2023,11,548
CLINIC-GP,CUST-3540000,Jan,2023,7,549
CLINIC-GP,CUST-3550001,Jan,2023,14,552
CLINIC-SP,CUST-3560001,Jan,2023,8,615
CLINIC-SP,CUST-3570000,Jan,2023,4,336
CLINIC-SP,CUST-3580001,Jan,2023,0,0
CLINIC-GP,CUST-3590001,Jan,2023,14,500
CLINIC-SP,CUST-3600001,Jan,2023,29,649
CLINIC-GP,CUST-3610001,Jan,2023,11,460
CLINIC-SP,CUST-3620001,Jan,2023,1,105
CLINIC-SP,CUST-3630000,Jan,2023,0,0
CLINIC-SP,CUST-3640000,Jan,2023,0,0
GROUP-GP,CUST-3650001,Jan,2023,0,0
OTHERS,CUST-3660001,Jan,2023,3,830
CLINIC-SP,CUST-3670001,Jan,2023,0,0
GROUP-GP,CUST-3680001,Jan,2023,65,955
GROUP-GP,CUST-3690000,Jan,2023,16,864
CLINIC-SP,CUST-3700001,Jan,2023,0,149
CLINIC-GP,CUST-3710000,Jan,2023,6,473
CLINIC-SP,CUST-3720001,Jan,2023,2,443
CLINIC-GP,CUST-3730000,Jan,2023,11,676
CLINIC-SP,CUST-3740001,Jan,2023,0,0
CLINIC-GP,CUST-3750001,Jan,2023,7,252
OTHERS,CUST-3760001,Jan,2023,0,0
CLINIC-GP,CUST-3770001,Jan,2023,2,179
CLINIC-SP,CUST-3780001,Jan,2023,0,0
CLINIC-SP,CUST-3790000,Jan,2023,6,645
CLINIC-GP,CUST-3800001,Jan,2023,8,401
CLINIC-GP,CUST-3810001,Jan,2023,2,2348
GROUP-GP,CUST-3820001,Jan,2023,0,0
CLINIC-SP,CUST-3830000,Jan,2023,9,329
CLINIC-SP,CUST-3840001,Jan,2023,32,800
CLINIC-SP,CUST-3850000,Jan,2023,5,112
CLINIC-SP,CUST-3860000,Jan,2023,0,0
CLINIC-SP,CUST-3870000,Jan,2023,4,377
GROUP-GP,CUST-3880000,Jan,2023,9,242
CLINIC-SP,CUST-3890001,Jan,2023,0,98
CLINIC-SP,CUST-3900001,Jan,2023,0,63
CLINIC-SP,CUST-3910001,Jan,2023,0,0
CLINIC-GP,CUST-3920001,Jan,2023,0,0
GROUP-GP,CUST-3930000,Jan,2023,10,339
CLINIC-SP,CUST-3940001,Jan,2023,11,294
CLINIC-SP,CUST-3950001,Jan,2023,10,934
CLINIC-GP,CUST-3960001,Jan,2023,2,87
GROUP-GP,CUST-3970000,Jan,2023,5,243
CLINIC-GP,CUST-3980001,Jan,2023,12,391
CLINIC-SP,CUST-3990000,Jan,2023,11,814
CLINIC-GP,CUST-4000001,Jan,2023,5,274
CLINIC-SP,CUST-4010001,Jan,2023,5,470
CLINIC-GP,CUST-4020001,Jan,2023,5,428
CLINIC-GP,CUST-4030001,Jan,2023,35,1632
CLINIC-SP,CUST-4040001,Jan,2023,13,471
CLINIC-SP,CUST-4050000,Jan,2023,0,0
CLINIC-GP,CUST-4060001,Jan,2023,13,756
CLINIC-SP,CUST-4070000,Jan,2023,9,636
CLINIC-GP,CUST-4080000,Jan,2023,6,540
CLINIC-SP,CUST-4090000,Jan,2023,2,110
CLINIC-SP,CUST-4100000,Jan,2023,0,31
CLINIC-SP,CUST-4110000,Jan,2023,1,159
CLINIC-SP,CUST-4120000,Jan,2023,3,429
CLINIC-SP,CUST-4130001,Jan,2023,1,162
CLINIC-SP,CUST-4140001,Jan,2023,7,318
CLINIC-GP,CUST-4150000,Jan,2023,13,759
CLINIC-SP,CUST-4160000,Jan,2023,9,302
CLINIC-GP,CUST-4170000,Jan,2023,9,583
CLINIC-GP,CUST-4180001,Jan,2023,13,1104
CLINIC-SP,CUST-4190000,Jan,2023,5,171
CLINIC-SP,CUST-4200001,Jan,2023,9,573
CLINIC-GP,CUST-4210000,Jan,2023,32,761
GROUP-GP,CUST-4220001,Jan,2023,4,286
CLINIC-GP,CUST-4230000,Jan,2023,0,30
CLINIC-GP,CUST-4240001,Jan,2023,4,237
CLINIC-GP,CUST-4250000,Jan,2023,12,1197
GROUP-GP,CUST-4260000,Jan,2023,20,803
CLINIC-GP,CUST-4270000,Jan,2023,90,3156
CLINIC-SP,CUST-4280001,Jan,2023,2,211
CLINIC-SP,CUST-4290000,Jan,2023,7,664
GROUP-GP,CUST-4300000,Jan,2023,9,261
CLINIC-GP,CUST-4310000,Jan,2023,20,750
GROUP-GP,CUST-4320000,Jan,2023,23,642
CLINIC-SP,CUST-4330001,Jan,2023,0,0
CLINIC-GP,CUST-4340000,Jan,2023,6,200
CLINIC-SP,CUST-4350000,Jan,2023,7,285
CLINIC-SP,CUST-4360000,Jan,2023,5,270
CLINIC-SP,CUST-4370001,Jan,2023,2,87
CLINIC-GP,CUST-4380001,Jan,2023,16,918
GROUP-GP,CUST-4390001,Jan,2023,4,202
OTHERS,CUST-4400001,Jan,2023,5,481
OTHERS,CUST-4410001,Jan,2023,6,354
CLINIC-SP,CUST-4420000,Jan,2023,5,658
CLINIC-GP,CUST-4430000,Jan,2023,8,482
CLINIC-GP,CUST-4440001,Jan,2023,9,915
CLINIC-SP,CUST-4450000,Jan,2023,13,317
CLINIC-GP,CUST-4460000,Jan,2023,22,563
CLINIC-SP,CUST-4470000,Jan,2023,3,228
CLINIC-GP,CUST-4480001,Jan,2023,25,1508
CLINIC-GP,CUST-4490001,Jan,2023,10,382
CLINIC-SP,CUST-4500001,Jan,2023,22,1163
CLINIC-GP,CUST-4510000,Jan,2023,2,439
GROUP-GP,CUST-4520000,Jan,2023,23,1261
CLINIC-SP,CUST-4530001,Jan,2023,6,383
CLINIC-SP,CUST-4540000,Jan,2023,25,1071
CLINIC-SP,CUST-4550001,Jan,2023,0,0
CLINIC-SP,CUST-4560000,Jan,2023,2,137
CLINIC-SP,CUST-4570001,Jan,2023,5,784
CLINIC-GP,CUST-4580001,Jan,2023,14,496
CLINIC-GP,CUST-4590000,Jan,2023,29,1243
CLINIC-SP,CUST-4600001,Jan,2023,24,656
CLINIC-SP,CUST-4610000,Jan,2023,5,211
CLINIC-SP,CUST-4620001,Jan,2023,4,843
CLINIC-SP,CUST-4630000,Jan,2023,10,779
CLINIC-SP,CUST-4640000,Jan,2023,14,1256
CLINIC-GP,CUST-4650001,Jan,2023,15,798
CLINIC-GP,CUST-4660001,Jan,2023,6,141
CLINIC-SP,CUST-4670001,Jan,2023,4,719
CLINIC-SP,CUST-4680000,Jan,2023,5,86
CLINIC-SP,CUST-4690001,Jan,2023,2,441
CLINIC-GP,CUST-4700001,Jan,2023,6,929
CLINIC-SP,CUST-4710000,Jan,2023,6,579
CLINIC-GP,CUST-4720000,Jan,2023,8,682
CLINIC-SP,CUST-4730000,Jan,2023,17,249
GROUP-GP,CUST-4740001,Jan,2023,12,800
GROUP-GP,CUST-4750001,Jan,2023,16,545
CLINIC-DEN,CUST-4760000,Jan,2023,11,713
CLINIC-GP,CUST-4770000,Jan,2023,14,310
CLINIC-GP,CUST-4780000,Jan,2023,5,419
CLINIC-SP,CUST-4790000,Jan,2023,2,205
CLINIC-SP,CUST-4800000,Jan,2023,8,278
CLINIC-SP,CUST-4810000,Jan,2023,2,191
CLINIC-SP,CUST-4820001,Jan,2023,31,1041
CLINIC-SP,CUST-4830001,Jan,2023,17,633
CLINIC-GP,CUST-4840001,Jan,2023,8,914
CLINIC-SP,CUST-4850000,Jan,2023,13,1795
CLINIC-SP,CUST-4860000,Jan,2023,9,164
CLINIC-SP,CUST-4870000,Jan,2023,0,0
CLINIC-GP,CUST-4880001,Jan,2023,9,816
CLINIC-GP,CUST-4890000,Jan,2023,3,179
CLINIC-GP,CUST-4900000,Jan,2023,10,743
CLINIC-GP,CUST-4910001,Jan,2023,10,441
CLINIC-GP,CUST-4920001,Jan,2023,12,679
CLINIC-SP,CUST-4930000,Jan,2023,3,158
CLINIC-GP,CUST-4940000,Jan,2023,0,0
CLINIC-GP,CUST-4950000,Jan,2023,13,638
CLINIC-GP,CUST-4960001,Jan,2023,17,2021
CLINIC-SP,CUST-4970000,Jan,2023,5,312
CLINIC-GP,CUST-4980001,Jan,2023,8,423
OTHERS,CUST-4990001,Jan,2023,0,0
CLINIC-GP,CUST-5000000,Jan,2023,6,475
