item_id,Month,Year,Qty,Sales
SKU-670000,Jan,2023,33,4043
SKU-680001,Jan,2023,238,1909
SKU-690001,Jan,2023,90,3430
SKU-700001,Jan,2023,312,3517
SKU-710001,Jan,2023,66,3198
SKU-720000,Jan,2023,25,3756
SKU-730000,Jan,2023,41,2879
SKU-740001,Jan,2023,388,5040
SKU-750000,Jan,2023,338,2787
SKU-760000,Jan,2023,82,4064
SKU-770001,Jan,2023,47,3117
SKU-780000,Jan,2023,68,3274
SKU-790000,Jan,2023,324,5763
SKU-800000,Jan,2023,42,3063
SKU-810000,Jan,2023,4,1909
SKU-820000,Jan,2023,48,2393
SKU-830001,Jan,2023,214,3994
SKU-840001,Jan,2023,33,625
SKU-850000,Jan,2023,334,4077
SKU-860001,Jan,2023,21,1817
SKU-870000,Jan,2023,137,3532
SKU-880000,Jan,2023,70,2887
SKU-890000,Jan,2023,99,1780
SKU-900000,Jan,2023,90,3348
SKU-910001,Jan,2023,35,2357
SKU-920001,Jan,2023,79,2742
SKU-930000,Jan,2023,86,2762
SKU-940000,Jan,2023,31,1985
SKU-950001,Jan,2023,64,3918
SKU-960000,Jan,2023,35,3503
SKU-970000,Jan,2023,17,2913
SKU-980000,Jan,2023,0,0
SKU-990000,Jan,2023,88,3565
SKU-1000000,Jan,2023,54,3464
SKU-1010001,Jan,2023,302,3789
SKU-1020001,Jan,2023,51,1257
SKU-1030000,Jan,2023,89,3318
SKU-1040001,Jan,2023,12,3250
SKU-1050001,Jan,2023,19,3165
SKU-1060000,Jan,2023,53,2036
SKU-1070001,Jan,2023,93,2658
SKU-1080000,Jan,2023,14,1529
SKU-1090001,Jan,2023,14,3125
SKU-1100000,Jan,2023,23,972
SKU-1110001,Jan,2023,22,2296
SKU-1120001,Jan,2023,49,2727
SKU-1130000,Jan,2023,90,6146
SKU-1140001,Jan,2023,18,2562
SKU-1150000,Jan,2023,28,2588
SKU-1160001,Jan,2023,70,2719
SKU-1170000,Jan,2023,94,3117
SKU-1180001,Jan,2023,12,1180
SKU-1190000,Jan,2023,31,2679
SKU-1200001,Jan,2023,61,947
SKU-1210001,Jan,2023,44,2072
SKU-1220001,Jan,2023,223,2387
SKU-1230000,Jan,2023,40,2964
SKU-1240000,Jan,2023,16,1670
SKU-1250000,Jan,2023,22,2159
SKU-1260000,Jan,2023,37,2473
SKU-1270001,Jan,2023,23,1313
SKU-1280000,Jan,2023,155,2496
SKU-1290000,Jan,2023,8,2411
SKU-1300000,Jan,2023,424,2566
SKU-1310000,Jan,2023,61,1907
SKU-1320001,Jan,2023,187,2562
SKU-1330001,Jan,2023,0,78
SKU-1340001,Jan,2023,370,1773
SKU-1350001,Jan,2023,0,0
SKU-1360000,Jan,2023,29,1793
SKU-1370001,Jan,2023,83,1992
SKU-1380001,Jan,2023,125,2250
SKU-1390000,Jan,2023,178,2272
SKU-1400000,Jan,2023,70,1233
SKU-1410000,Jan,2023,57,2121
SKU-1420001,Jan,2023,34,2849
SKU-1430001,Jan,2023,47,2012
SKU-1440000,Jan,2023,84,2077
SKU-1450001,Jan,2023,105,2211
SKU-1460001,Jan,2023,19,1296
SKU-1470000,Jan,2023,0,0
SKU-1480000,Jan,2023,74,2093
SKU-1490000,Jan,2023,89,2207
SKU-1500000,Jan,2023,37,1623
SKU-1510001,Jan,2023,96,3120
SKU-1520000,Jan,2023,0,0
SKU-1530000,Jan,2023,54,3327
SKU-1540001,Jan,2023,84,2372
SKU-1550001,Jan,2023,291,2206
SKU-1560000,Jan,2023,47,2670
SKU-1570001,Jan,2023,18,1272
SKU-1580001,Jan,2023,93,2263
SKU-1590001,Jan,2023,54,1918
SKU-1600001,Jan,2023,8,1487
SKU-1610001,Jan,2023,5,1415
SKU-1620000,Jan,2023,57,411
SKU-1630001,Jan,2023,57,486
SKU-1640000,Jan,2023,36,1876
SKU-1650000,Jan,2023,127,1612
SKU-1660000,Jan,2023,12,1620
SKU-1670001,Jan,2023,134,1830
SKU-1680000,Jan,2023,40,2758
SKU-1690001,Jan,2023,86,1665
SKU-1700001,Jan,2023,43,2714
SKU-1710001,Jan,2023,25,2115
SKU-1720001,Jan,2023,24,1115
SKU-1730000,Jan,2023,92,2033
SKU-1740001,Jan,2023,74,2455
SKU-1750001,Jan,2023,61,2288
SKU-1760001,Jan,2023,74,2947
SKU-1770001,Jan,2023,128,1681
SKU-1780000,Jan,2023,35,2033
SKU-1790001,Jan,2023,61,1538
SKU-1800001,Jan,2023,139,1650
SKU-1810001,Jan,2023,47,2211
SKU-1820001,Jan,2023,10,1918
SKU-1830001,Jan,2023,17,2150
SKU-1840001,Jan,2023,50,2038
SKU-1850000,Jan,2023,45,2749
SKU-1860001,Jan,2023,115,1925
SKU-1870000,Jan,2023,26,1455
SKU-1880000,Jan,2023,14,2073
SKU-1890001,Jan,2023,167,1560
SKU-1900000,Jan,2023,36,1655
SKU-1910000,Jan,2023,20,2082
SKU-1920000,Jan,2023,21,1502
SKU-1930000,Jan,2023,18,2690
SKU-1940001,Jan,2023,11,1376
SKU-1950000,Jan,2023,183,956
SKU-1960000,Jan,2023,22,1807
SKU-1970001,Jan,2023,31,1767
SKU-1980000,Jan,2023,0,0
SKU-1990001,Jan,2023,63,1540
SKU-2000000,Jan,2023,62,1916
SKU-2010000,Jan,2023,12,1474
SKU-2020001,Jan,2023,408,2108
SKU-2030001,Jan,2023,8,519
SKU-2040001,Jan,2023,18,699
SKU-2050001,Jan,2023,31,1444
SKU-2060000,Jan,2023,127,1750
SKU-2070001,Jan,2023,16,1523
SKU-2080001,Jan,2023,76,1292
SKU-2090000,Jan,2023,18,1447
SKU-2100001,Jan,2023,266,1595
SKU-2110000,Jan,2023,60,1662
SKU-2120000,Jan,2023,15,485
SKU-2130001,Jan,2023,1,466
SKU-2140001,Jan,2023,28,1625
SKU-2150001,Jan,2023,80,652
SKU-2160001,Jan,2023,38,1263
SKU-2170001,Jan,2023,84,1964
SKU-2180000,Jan,2023,33,2240
SKU-2190000,Jan,2023,20,1357
SKU-2200001,Jan,2023,30,1320
SKU-2210001,Jan,2023,54,1113
SKU-2220000,Jan,2023,77,1514
SKU-2230001,Jan,2023,56,303
SKU-2240000,Jan,2023,8,1477
SKU-2250000,Jan,2023,72,1289
SKU-2260001,Jan,2023,95,1772
SKU-2270000,Jan,2023,35,1360
SKU-2280001,Jan,2023,22,1540
SKU-2290000,Jan,2023,0,0
SKU-2300001,Jan,2023,21,823
SKU-2310001,Jan,2023,0,0
SKU-2320000,Jan,2023,388,2720
SKU-2330000,Jan,2023,6,778
SKU-2340000,Jan,2023,14,1000
SKU-2350001,Jan,2023,66,889
SKU-2360001,Jan,2023,26,1801
SKU-2370001,Jan,2023,136,2277
SKU-2380001,Jan,2023,381,2108
SKU-2390001,Jan,2023,23,2761
SKU-2400001,Jan,2023,709,1467
SKU-2410001,Jan,2023,47,1099
SKU-2420000,Jan,2023,0,0
SKU-2430000,Jan,2023,51,1862
SKU-2440001,Jan,2023,35,1089
SKU-2450001,Jan,2023,36,1263
SKU-2460001,Jan,2023,74,3221
SKU-2470001,Jan,2023,14,1014
SKU-2480001,Jan,2023,47,1684
SKU-2490001,Jan,2023,9,444
SKU-2500001,Jan,2023,2,635
SKU-2510001,Jan,2023,19,1589
SKU-2520001,Jan,2023,29,579
SKU-2530000,Jan,2023,43,1957
SKU-2540000,Jan,2023,8,470
SKU-2550001,Jan,2023,38,1075
SKU-2560000,Jan,2023,58,341
SKU-2570001,Jan,2023,21,1506
SKU-2580000,Jan,2023,10,911
SKU-2590000,Jan,2023,15,1325
SKU-2600001,Jan,2023,76,573
SKU-2610000,Jan,2023,130,2294
SKU-2620000,Jan,2023,3,978
SKU-2630001,Jan,2023,12,1383
SKU-2640000,Jan,2023,0,0
SKU-2650000,Jan,2023,0,0
SKU-2660000,Jan,2023,32,1424
SKU-2670000,Jan,2023,108,942
SKU-2680000,Jan,2023,64,1362
SKU-2690000,Jan,2023,110,1233
SKU-2700000,Jan,2023,23,1492
SKU-2710000,Jan,2023,31,1282
SKU-2720001,Jan,2023,23,978
SKU-2730000,Jan,2023,0,0
SKU-2740000,Jan,2023,6,1226
SKU-2750000,Jan,2023,49,1985
SKU-2760000,Jan,2023,245,2876
SKU-2770000,Jan,2023,0,0
SKU-2780000,Jan,2023,15,1602
SKU-2790000,Jan,2023,5,450
SKU-2800001,Jan,2023,31,1145
SKU-2810000,Jan,2023,76,2604
SKU-2820000,Jan,2023,24,1619
SKU-2830001,Jan,2023,23,1504
SKU-2840000,Jan,2023,36,1277
SKU-2850001,Jan,2023,62,1685
SKU-2860000,Jan,2023,147,1250
SKU-2870001,Jan,2023,16,1507
SKU-2880000,Jan,2023,13,906
SKU-2890001,Jan,2023,101,618
SKU-2900001,Jan,2023,245,1084
SKU-2910000,Jan,2023,59,680
SKU-2920001,Jan,2023,44,903
SKU-2930001,Jan,2023,16,1066
SKU-2940001,Jan,2023,6,872
SKU-2950000,Jan,2023,31,1334
SKU-2960000,Jan,2023,15,966
SKU-2970001,Jan,2023,389,2514
SKU-2980001,Jan,2023,23,1904
SKU-2990001,Jan,2023,24,915
SKU-3000001,Jan,2023,18,627
SKU-3010000,Jan,2023,6,1928
SKU-3020000,Jan,2023,12,1151
SKU-3030001,Jan,2023,15,827
SKU-3040001,Jan,2023,3,608
SKU-3050000,Jan,2023,109,1537
SKU-3060001,Jan,2023,23,876
SKU-3070000,Jan,2023,164,1390
SKU-3080000,Jan,2023,19,840
SKU-3090000,Jan,2023,74,965
SKU-3100000,Jan,2023,0,0
SKU-3110001,Jan,2023,11,392
SKU-3120000,Jan,2023,396,1776
SKU-3130000,Jan,2023,148,1134
SKU-3140001,Jan,2023,8,574
SKU-3150000,Jan,2023,25,1116
SKU-3160001,Jan,2023,25,794
SKU-3170000,Jan,2023,40,911
SKU-3180001,Jan,2023,31,2168
SKU-3190001,Jan,2023,0,0
SKU-3200000,Jan,2023,16,2248
SKU-3210000,Jan,2023,0,0
SKU-3220001,Jan,2023,416,889
SKU-3230001,Jan,2023,26,931
SKU-3240000,Jan,2023,3,1014
SKU-3250000,Jan,2023,10,814
SKU-3260000,Jan,2023,13,1094
SKU-3270000,Jan,2023,36,922
SKU-3280000,Jan,2023,16,708
SKU-3290000,Jan,2023,19,686
SKU-3300000,Jan,2023,76,1357
SKU-3310000,Jan,2023,191,960
SKU-3320000,Jan,2023,15,787
SKU-3330000,Jan,2023,160,1821
SKU-3340001,Jan,2023,10,1058
SKU-3350001,Jan,2023,31,2017
SKU-3360001,Jan,2023,8,1524
SKU-3370000,Jan,2023,15,2078
SKU-3380001,Jan,2023,35,1094
SKU-3390001,Jan,2023,21,950
SKU-3400000,Jan,2023,16,1211
SKU-3410000,Jan,2023,19,726
SKU-3420000,Jan,2023,114,1372
SKU-3430001,Jan,2023,14,1437
SKU-3440000,Jan,2023,47,1511
SKU-3450000,Jan,2023,32,649
SKU-3460001,Jan,2023,0,0
SKU-3470001,Jan,2023,132,978
SKU-3480000,Jan,2023,219,2159
SKU-3490000,Jan,2023,9,1289
SKU-3500000,Jan,2023,44,1177
SKU-3510000,Jan,2023,364,1167
SKU-3520000,Jan,2023,148,1573
SKU-3530001,Jan,2023,27,849
SKU-3540001,Jan,2023,60,773
SKU-3550000,Jan,2023,3,409
SKU-3560001,Jan,2023,21,328
SKU-3570000,Jan,2023,121,1673
SKU-3580001,Jan,2023,18,277
SKU-3590001,Jan,2023,29,775
SKU-3600001,Jan,2023,25,1113
SKU-3610001,Jan,2023,22,1167
SKU-3620000,Jan,2023,12,558
SKU-3630001,Jan,2023,14,526
SKU-3640000,Jan,2023,6,275
SKU-3650000,Jan,2023,31,2914
SKU-3660001,Jan,2023,1017,3254
SKU-3670001,Jan,2023,202,1594
SKU-3680001,Jan,2023,41,545
SKU-3690000,Jan,2023,87,943
SKU-3700001,Jan,2023,23,1759
SKU-3710001,Jan,2023,12,986
SKU-3720000,Jan,2023,0,0
SKU-3730001,Jan,2023,14,1185
SKU-3740000,Jan,2023,22,848
SKU-3750001,Jan,2023,38,1408
SKU-3760001,Jan,2023,13,688
SKU-3770001,Jan,2023,59,693
SKU-3780000,Jan,2023,157,896
SKU-3790000,Jan,2023,7,365
SKU-3800000,Jan,2023,23,812
SKU-3810001,Jan,2023,27,937
SKU-3820000,Jan,2023,31,663
SKU-3830001,Jan,2023,10,1178
SKU-3840001,Jan,2023,6,674
SKU-3850000,Jan,2023,6,271
SKU-3860000,Jan,2023,19,1058
SKU-3870001,Jan,2023,18,1116
SKU-3880000,Jan,2023,0,0
SKU-3890001,Jan,2023,4,677
SKU-3900001,Jan,2023,27,418
SKU-3910001,Jan,2023,146,1087
SKU-3920001,Jan,2023,60,832
SKU-3930001,Jan,2023,29,1193
SKU-3940000,Jan,2023,2,55
SKU-3950001,Jan,2023,27,986
SKU-3960000,Jan,2023,15,631
SKU-3970000,Jan,2023,37,993
SKU-3980000,Jan,2023,31,562
SKU-3990001,Jan,2023,23,520
SKU-4000000,Jan,2023,1,306
SKU-4010000,Jan,2023,2,248
SKU-4020001,Jan,2023,23,788
SKU-4030001,Jan,2023,170,839
SKU-4040000,Jan,2023,19,257
SKU-4050001,Jan,2023,13,246
SKU-4060001,Jan,2023,5,1094
SKU-4070000,Jan,2023,83,692
SKU-4080001,Jan,2023,0,0
SKU-4090000,Jan,2023,171,517
SKU-4100000,Jan,2023,41,720
SKU-4110000,Jan,2023,0,0
SKU-4120001,Jan,2023,55,836
SKU-4130001,Jan,2023,12,832
SKU-4140000,Jan,2023,52,507
SKU-4150001,Jan,2023,286,742
SKU-4160000,Jan,2023,0,0
SKU-4170001,Jan,2023,54,1320
SKU-4180000,Jan,2023,21,743
SKU-4190000,Jan,2023,41,748
SKU-4200000,Jan,2023,0,0
SKU-4210000,Jan,2023,18,701
SKU-4220001,Jan,2023,18,719
SKU-4230001,Jan,2023,4,802
SKU-4240001,Jan,2023,32,461
SKU-4250001,Jan,2023,51,402
SKU-4260001,Jan,2023,7,576
SKU-4270000,Jan,2023,29,984
SKU-4280001,Jan,2023,86,1030
SKU-4290001,Jan,2023,73,823
SKU-4300000,Jan,2023,4,135
SKU-4310000,Jan,2023,94,345
SKU-4320000,Jan,2023,5,580
SKU-4330001,Jan,2023,9,624
SKU-4340000,Jan,2023,37,798
SKU-4350000,Jan,2023,56,476
SKU-4360000,Jan,2023,14,554
SKU-4370001,Jan,2023,8,45
SKU-4380000,Jan,2023,20,899
SKU-4390001,Jan,2023,8,360
SKU-4400000,Jan,2023,0,0
SKU-4410000,Jan,2023,33,705
SKU-4420001,Jan,2023,4,337
SKU-4430001,Jan,2023,36,1245
SKU-4440000,Jan,2023,0,0
SKU-4450001,Jan,2023,27,676
SKU-4460000,Jan,2023,55,2106
SKU-4470000,Jan,2023,24,618
SKU-4480001,Jan,2023,38,706
SKU-4490000,Jan,2023,3,591
SKU-4500000,Jan,2023,21,609
SKU-4510000,Jan,2023,338,1197
SKU-4520001,Jan,2023,6,738
SKU-4530000,Jan,2023,128,1118
SKU-4540000,Jan,2023,128,1179
SKU-4550000,Jan,2023,16,944
SKU-4560000,Jan,2023,14,650
SKU-4570001,Jan,2023,15,474
SKU-4580001,Jan,2023,10,1361
SKU-4590001,Jan,2023,316,776
SKU-4600001,Jan,2023,16,633
SKU-4610001,Jan,2023,189,1267
SKU-4620000,Jan,2023,31,341
SKU-4630001,Jan,2023,21,536
SKU-4640000,Jan,2023,12,758
SKU-4650000,Jan,2023,3,682
SKU-4660001,Jan,2023,4,286
SKU-4670001,Jan,2023,108,512
SKU-4680001,Jan,2023,17,722
SKU-4690000,Jan,2023,5,354
SKU-4700001,Jan,2023,20,451
SKU-4710000,Jan,2023,81,626
SKU-4720000,Jan,2023,2,388
SKU-4730000,Jan,2023,115,532
SKU-4740001,Jan,2023,9,516
SKU-4750000,Jan,2023,0,0
SKU-4760000,Jan,2023,72,682
SKU-4770000,Jan,2023,7,559
SKU-4780001,Jan,2023,12,753
SKU-4790000,Jan,2023,147,363
SKU-4800000,Jan,2023,87,452
SKU-4810000,Jan,2023,11,358
SKU-4820001,Jan,2023,24,997
SKU-4830000,Jan,2023,5,329
SKU-4840001,Jan,2023,43,681
SKU-4850000,Jan,2023,20,762
SKU-4860000,Jan,2023,19,1127
SKU-4870001,Jan,2023,4,419
SKU-4880001,Jan,2023,6,567
SKU-4890001,Jan,2023,39,1038
SKU-4900001,Jan,2023,8,93
SKU-4910001,Jan,2023,0,0
SKU-4920000,Jan,2023,20,2965
SKU-4930000,Jan,2023,16,591
SKU-4940001,Jan,2023,27,1484
SKU-4950001,Jan,2023,5,856
SKU-4960001,Jan,2023,0,0
SKU-4970001,Jan,2023,9,1045
SKU-4980000,Jan,2023,0,0
SKU-4990000,Jan,2023,21,538
SKU-5000000,Jan,2023,8,730
SKU-5010001,Jan,2023,11,665
SKU-5020000,Jan,2023,8,497
SKU-5030000,Jan,2023,33,788
SKU-5040000,Jan,2023,6,277
SKU-5050001,Jan,2023,33,316
SKU-5060001,Jan,2023,117,935
SKU-5070001,Jan,2023,0,0
SKU-5080000,Jan,2023,14,827
SKU-5090000,Jan,2023,96,796
SKU-5100000,Jan,2023,12,711
SKU-5110000,Jan,2023,6,458
SKU-5120000,Jan,2023,39,568
SKU-5130000,Jan,2023,1,171
SKU-5140000,Jan,2023,8,557
SKU-5150000,Jan,2023,46,912
SKU-5160001,Jan,2023,10,352
SKU-5170001,Jan,2023,12,509
SKU-5180001,Jan,2023,21,720
SKU-5190001,Jan,2023,467,1291
SKU-5200000,Jan,2023,0,0
SKU-5210001,Jan,2023,52,153
SKU-5220001,Jan,2023,15,580
SKU-5230001,Jan,2023,127,689
SKU-5240000,Jan,2023,92,585
SKU-5250001,Jan,2023,23,542
SKU-5260001,Jan,2023,14,532
SKU-5270000,Jan,2023,11,464
SKU-5280000,Jan,2023,0,0
SKU-5290001,Jan,2023,0,0
SKU-5300001,Jan,2023,135,542
SKU-5310001,Jan,2023,4,342
SKU-5320001,Jan,2023,146,437
SKU-5330000,Jan,2023,47,625
SKU-5340000,Jan,2023,79,712
SKU-5350001,Jan,2023,83,731
SKU-5360000,Jan,2023,71,554
SKU-5370001,Jan,2023,10,507
SKU-5380001,Jan,2023,49,752
SKU-5390001,Jan,2023,5,484
SKU-5400000,Jan,2023,15,761
SKU-5410000,Jan,2023,24,953
SKU-5420001,Jan,2023,6,354
SKU-5430001,Jan,2023,2,343
SKU-5440000,Jan,2023,0,0
SKU-5450000,Jan,2023,0,125
SKU-5460001,Jan,2023,0,0
SKU-5470001,Jan,2023,0,0
SKU-5480001,Jan,2023,0,0
SKU-5490001,Jan,2023,12,830
SKU-5500000,Jan,2023,24,554
SKU-5510000,Jan,2023,30,865
SKU-5520001,Jan,2023,27,298
SKU-5530000,Jan,2023,206,768
SKU-5540001,Jan,2023,59,826
SKU-5550000,Jan,2023,37,1600
SKU-5560001,Jan,2023,28,568
SKU-5570001,Jan,2023,79,616
SKU-5580001,Jan,2023,104,536
SKU-5590000,Jan,2023,4,182
SKU-5600000,Jan,2023,7,358
SKU-5610000,Jan,2023,11,533
SKU-5620001,Jan,2023,49,830
SKU-5630001,Jan,2023,24,442
SKU-5640001,Jan,2023,63,529
SKU-5650001,Jan,2023,3,266
SKU-5660001,Jan,2023,14,407
SKU-5670000,Jan,2023,8,1109
SKU-5680001,Jan,2023,4,840
SKU-5690001,Jan,2023,48,505
SKU-5700001,Jan,2023,5,406
SKU-5710000,Jan,2023,23,114
SKU-5720001,Jan,2023,9,582
SKU-5730000,Jan,2023,0,0
SKU-5740001,Jan,2023,18,677
SKU-5750001,Jan,2023,20,865
SKU-5760000,Jan,2023,11,508
SKU-5770001,Jan,2023,15,1012
SKU-5780000,Jan,2023,24,559
SKU-5790001,Jan,2023,0,0
SKU-5800001,Jan,2023,45,370
SKU-5810001,Jan,2023,12,479
SKU-5820000,Jan,2023,19,663
SKU-5830000,Jan,2023,188,675
SKU-5840000,Jan,2023,45,789
SKU-5850001,Jan,2023,30,353
SKU-5860001,Jan,2023,14,472
SKU-5870001,Jan,2023,8,789
SKU-5880001,Jan,2023,77,2104
SKU-5890001,Jan,2023,0,0
SKU-5900000,Jan,2023,16,384
SKU-5910000,Jan,2023,14,326
SKU-5920001,Jan,2023,0,0
SKU-5930000,Jan,2023,3,560
SKU-5940000,Jan,2023,18,497
SKU-5950001,Jan,2023,9,512
SKU-5960000,Jan,2023,97,375
SKU-5970001,Jan,2023,20,393
SKU-5980000,Jan,2023,17,58
SKU-5990001,Jan,2023,36,380
SKU-6000000,Jan,2023,25,354
SKU-6010000,Jan,2023,6,788
SKU-6020000,Jan,2023,135,741
SKU-6030000,Jan,2023,31,888
SKU-6040001,Jan,2023,1,99
SKU-6050001,Jan,2023,109,1562
SKU-6060000,Jan,2023,8,623
SKU-6070000,Jan,2023,6,298
SKU-6080001,Jan,2023,1,13
SKU-6090001,Jan,2023,37,272
SKU-6100000,Jan,2023,1,144
SKU-6110000,Jan,2023,2,601
SKU-6120001,Jan,2023,165,564
SKU-6130000,Jan,2023,25,459
SKU-6140001,Jan,2023,103,473
SKU-6150001,Jan,2023,27,458
SKU-6160001,Jan,2023,2,36
SKU-6170001,Jan,2023,12,96
SKU-6180001,Jan,2023,18,1123
SKU-6190000,Jan,2023,4,314
SKU-6200001,Jan,2023,24,1084
SKU-6210001,Jan,2023,18,371
SKU-6220001,Jan,2023,11,502
SKU-6230001,Jan,2023,6,415
SKU-6240000,Jan,2023,12,471
SKU-6250001,Jan,2023,62,365
SKU-6260000,Jan,2023,6,657
SKU-6270001,Jan,2023,42,681
SKU-6280001,Jan,2023,4,582
SKU-6290001,Jan,2023,3,216
SKU-6300000,Jan,2023,4,140
SKU-6310001,Jan,2023,10,101
SKU-6320001,Jan,2023,23,776
SKU-6330001,Jan,2023,12,561
SKU-6340000,Jan,2023,122,1683
SKU-6350001,Jan,2023,21,255
SKU-6360001,Jan,2023,131,315
SKU-6370001,Jan,2023,94,447
SKU-6380000,Jan,2023,4,597
SKU-6390000,Jan,2023,33,436
SKU-6400000,Jan,2023,42,683
SKU-6410001,Jan,2023,4,250
SKU-6420001,Jan,2023,174,604
SKU-6430001,Jan,2023,11,364
SKU-6440001,Jan,2023,7,210
SKU-6450000,Jan,2023,5,449
SKU-6460001,Jan,2023,7,220
SKU-6470000,Jan,2023,1,102
SKU-6480001,Jan,2023,6,142
SKU-6490001,Jan,2023,14,313
SKU-6500000,Jan,2023,0,0
SKU-6510001,Jan,2023,49,238
SKU-6520000,Jan,2023,81,465
SKU-6530000,Jan,2023,10,166
SKU-6540001,Jan,2023,25,621
SKU-6550000,Jan,2023,14,512
SKU-6560001,Jan,2023,14,291
SKU-6570001,Jan,2023,131,419
SKU-6580001,Jan,2023,9,530
SKU-6590000,Jan,2023,8,136
SKU-6600001,Jan,2023,4,278
SKU-6610000,Jan,2023,28,406
SKU-6620001,Jan,2023,51,482
SKU-6630000,Jan,2023,0,0
SKU-6640000,Jan,2023,55,674
SKU-6650001,Jan,2023,14,677
SKU-6660000,Jan,2023,2,115
SKU-6670000,Jan,2023,56,566
SKU-6680001,Jan,2023,0,85
SKU-6690001,Jan,2023,6,179
SKU-6700001,Jan,2023,0,0
SKU-6710000,Jan,2023,0,0
SKU-6720001,Jan,2023,17,591
SKU-6730000,Jan,2023,0,0
SKU-6740000,Jan,2023,24,528
SKU-6750001,Jan,2023,1,2006
SKU-6760000,Jan,2023,53,535
SKU-6770001,Jan,2023,36,591
SKU-6780000,Jan,2023,15,506
SKU-6790001,Jan,2023,4,150
SKU-6800000,Jan,2023,47,232
SKU-6810001,Jan,2023,55,368
SKU-6820001,Jan,2023,0,0
SKU-6830001,Jan,2023,134,1167
SKU-6840000,Jan,2023,12,303
SKU-6850000,Jan,2023,12,292
SKU-6860001,Jan,2023,58,464
SKU-6870001,Jan,2023,0,0
SKU-6880001,Jan,2023,64,451
SKU-6890000,Jan,2023,5,337
SKU-6900000,Jan,2023,0,0
SKU-6910001,Jan,2023,10,236
SKU-6920000,Jan,2023,34,436
SKU-6930000,Jan,2023,0,0
SKU-6940000,Jan,2023,18,233
SKU-6950000,Jan,2023,19,612
SKU-6960001,Jan,2023,112,589
SKU-6970001,Jan,2023,17,1192
SKU-6980000,Jan,2023,18,417
SKU-6990000,Jan,2023,2,114
SKU-7000000,Jan,2023,0,0
SKU-7010001,Jan,2023,9,209
SKU-7020000,Jan,2023,78,288
SKU-7030000,Jan,2023,63,272
SKU-7040001,Jan,2023,0,0
SKU-7050001,Jan,2023,2,419
SKU-7060001,Jan,2023,8,778
SKU-7070001,Jan,2023,0,54
SKU-7080000,Jan,2023,1,89
SKU-7090000,Jan,2023,13,293
SKU-7100000,Jan,2023,13,179
SKU-7110001,Jan,2023,7,327
SKU-7120000,Jan,2023,19,463
SKU-7130000,Jan,2023,60,1130
SKU-7140000,Jan,2023,73,377
SKU-7150000,Jan,2023,14,337
SKU-7160001,Jan,2023,0,0
SKU-7170000,Jan,2023,3,312
SKU-7180000,Jan,2023,6,889
SKU-7190001,Jan,2023,53,182
SKU-7200001,Jan,2023,8,456
SKU-7210000,Jan,2023,0,0
SKU-7220000,Jan,2023,12,271
SKU-7230000,Jan,2023,65,444
SKU-7240000,Jan,2023,0,0
SKU-7250001,Jan,2023,8,498
